客户提问,销售回答
发什么快递？,德邦快递，给您送货上门。
为什么烤完不焦香，口感不好,设备冷启动，需要打开所有开关预热15分钟后，再放入烤串，口感最佳。
3+1这款具体多少钱,3+1组多功能型电烤箱是3799元
3+1这款用电量多少,3+1组多功能的烤箱，最大5200瓦，三个烤串抽屉是3200瓦，左边烤锡纸菜的烤箱是2000瓦满功率，实际使用开到70%左右就够用了，比较省电。
3+1的尺寸多少,3+1组多功能烤箱尺寸：长72cm宽40cm高38cm
买烤炉，提供配方吗,是的，买烤炉，我会为您提供专业配方，您自己根据配方就可以配出专业烧烤的料，很好用。
3+1电压是多少，220的还是380的,3+1组多功能型可以选择220V也可以选择380V的，这两个价格一样，如果您有380的电，推荐您选择380V的，因为三相电火力更好，速度也会快一些，用电量跟220是一样的，因为两种电压的瓦数是一样的。
没有380的，220的能用吗，跟380有什么区别,220跟380的有些区别，380比220的升温速度快一些，火力更好一些，但是你如果没有380的，220也是能达到烧烤火力标准的，预热好后，烤的效果也很不错，就是开机冷启动预热时间多几分钟。
3抽屉多少钱,亲，3抽屉2100元，因为这个月本款有活动，所有是这个价格
3抽屉尺寸,3抽屉尺寸：长45厘米，宽40厘米，高38厘米
3抽电压多少，有220或者380V的吗,3抽屉，有220V和380V电压的，根据需要选择即可。
220是直接插上就能用吗,220的设备，配有16安的公牛插头，您直接插在您店里对应的16安插座上即可，建议电线要国标4平方以上比较好。
3抽屉瓦数多少，费电吗,3抽屉是3200瓦，不费电，如果您的电压够的话，不需要全开，火力开到85%就够用了，所以比较省电。
每个烤串抽屉能放几串,每个抽屉能放10串
我从来没烤过串，你们会教吗，我不会烤,亲，我们提供一对一的专业烧烤指导，操作非常简单，您跟着我们操作，很快就能掌握，操作简单，一个人就可以顾得过来。
五抽屉是多少钱,这个月有政策是3200，比较划算呢，这是我们的畅销款
5抽屉的尺寸多少,5抽屉尺寸：长58厘米，宽40厘米，高38厘米
5抽屉多少瓦,5抽屉瓦数是4800瓦，这是最大功率，而且可以分区控温，平时开一个就可以，省电，根据需要可以开多开少，比较灵活
5抽屉怎么控制,5抽屉可以开一个抽屉，还可以再开两个抽屉，还能再开两个抽屉，分区就是1+2+2的抽屉控制方式
你的烤炉多少钱，功率是多大,咱们的款式非常多，您需要哪款，咱们店是做哪方面的，我推荐适合您的？
我是做面馆的,推荐您用5抽屉专业版，每个抽屉10串也就是50串
5抽屉电压多少是220的还是380的,5抽屉220V和380V两个版本都有，根据需要选择即可，380V的可以两用，可以自己变成220的来用，比较方便，220V就不好改380了，需要找专业电工或者发回工厂改380V
烤一串，要多久,烤串时间大概是3分钟到5分钟之间，按标准串20克为例大概3分半左右即可烤好，如果是50克以上也就是一两以上的大肉串5分钟左右也可以烤好，非常的快
烤熟了，有声音提醒吗，会提示吗,咱们有专业计时器，烤好后，对应的那个计时器会发出声音，提醒您烤好了，不会遗忘。
5抽屉多重,5抽屉大概30公斤左右
自动旋转吗,不用旋转，您不要被市面上旋转的炉子误导了，咱们这样的烤箱结构，因为空间本身很紧凑，里面热气是360度循环的烤的很均匀，不要旋转，烤的外焦里嫩的，而且非常快。旋转那种最大的问题是火力太小烤的不焦香，而且非常难清洗，抽屉下方都是齿轮会囤积很多油，故障率很高，而咱们烤的快，口感好，质保时间也很长，能做到整机质保三年。
我这儿有个炒菜店，想加个烧烤，有什么好的建议,推荐5抽屉，或者3+1组多功能型，大小合适。
8抽屉尺寸多少,八抽屉尺寸：长78厘米，宽40厘米，高38厘米
8抽屉多少钱,八抽屉专业电烤炉是可以按4500元，来计算。
能烤蔬菜吗,当然可以啦，能烤很多蔬菜呢，比如：烤韭菜可以用专用的烤夹子，把烤串抽屉拿出来，换成烤夹就可以啦，烤韭菜，烤金针菇，烤尖椒，还能烤羊排，把羊排正切出一条一条的，一次能烤三整条12分钟就可以烤好，非常好吃。也可以把蔬菜串签字烤，烤大蒜，烤香菇，烤菜花，烤茄子等等
我现在只上羊肉串和油边,可以啊，油边烤制4-5分钟左右，把表皮烤脆，口感更佳，可以烤的很好吃哦
能烤大串吗,当然可以啦，大串50克以上的也能烤，50克、60克、70克等等，垂直往串，肉的长度是16厘米，如果还不够，可以错开一个孔放就会多一块肉的距离，如果还不够继续错开一个孔，以此类推，可以放很大的串，咱们的炉子火很猛，可以把大肉串快速烤的定型锁住汁水，不会干不会柴，口感很好。
买机器带签子吗,咱们是专注生产电烤设备，没有生产签子。其实显示您当地就能买到，网上也，很便宜的，咱们的设备通用现在市面上所以的签子。
咱们这个烤串设备和南城香那个京泉盛油什么区别吗，或者有什么优势：,最大的优势是火力更好，烤的更好吃，设备保修期更长，整机质保三年，但最重要的还是比他们烤的要好吃的多，这是最重要的，质量肯定比他好。
定时功能没有是吗,有啊，我们配套提供专用定时器，可以同时定时8个时间的，太少的话，不够用。
肉串也提供吗,是的，我们也有配套食材提供，我们有小袋的试用装可以选购体验，肉的品质非常要，与市面上的串都不一样，市面上大多是腌制的串，吃起来口感就没有肉香味了，咱们的兼顾性价比还能保留肉香味，有很好的复购率。
5+1的能单独控制加热管吗,5+1组专用电烤炉，可以单独开一个抽屉，比较省电，控制方式：1+2+2的抽屉控制方式，比较灵活省电，分区控温，左边的烤箱也是可以单独开关的。
5+1多少钱,4500最低了
5+1是多少尺寸,5+1组电烤炉尺寸：长85厘米，宽40厘米，高38厘米
5+1电压多少是几相电,5+1专用烤串设备电压是：380V的
烤腰子，烤油边，烤大虾是不是都能烤，是不是能给配方,是的，这些都能烤，咱们提供专用指导，而且会给您配方。
我是做土鸡炒菜的适合什么款式,您大概有多少个桌子给您推荐适合大小的
8个桌子适合,5抽屉专用电烤设备
8-18个桌子适合,8抽屉专用电烤设备
8个以下的桌子,适合3抽屉或者5抽屉的烧烤设备，根据您需要烤几个品种的串，如果超过3个串的品种需要选择5抽屉的，否则不够用。
5+2是多少钱,5+2专用多功能电烤设备是5299元
5+2电压是多少,5+2专用多功能电烤设备是380V的三相电
5+2尺寸多少,5+2专用多功能电烤设备尺寸：长122厘米，宽40厘米，高38厘米
5+2费电吗，多少瓦,5+2多功能型，是分区控制开关温度的，很省电，烤串部分可以单独开一个平时不忙的时候，分别是：1+2+2的抽屉控制方式。左边的两组托盘烤箱也是分开控制的，省电。
设备是恒温的吗,是的，咱们的设备在到达温度后，不会停止加热，而且会恒温在当前温度，这样烤串速度和口感都能稳定，火力大小您可以随时调整。
我想咨询下烤炉,好的，您有什么问题，问我就行。
价格，多少钱,您看上哪一款了，我给你介绍和价格
这么贵啊,因为我们的肯定能达到效果，你千万别买几百块的，你买回来，就会发现根本用不了，烤的口感很难吃。
有些贵,便宜的那种全都不能恒温，因为那些炉子都是到稳定就会断电，而断电后是不能烤串的，时间会过长，肉就缩了柴了干了，没法做出好吃的串，没法真正代替烧烤师傅。
你这最低多少钱,我给您报的就是最低价，我们的质量和烤的口感都是有保证了，质量确实过硬，其他设备跟咱们没法比，所以咱们很有竞争力。
我也看了几家和你这差不多,外观像没有用，只要不是我们这样的配置，就无法恒温，炉子里面的配置完全不一样，所以考出来的口感就完全不一样，我们的质保是真正的整机质保三年，会真正对生意有帮助。
你的设备是哪里产的,咱们的烧烤设备都是在北京生产的
你跟京泉盛是一家吗,不是一家，他家质量不行，他们质保原来都是半年，后来被我们逼的质保写成一年了，所以他们一年以内就会有问题，而且他们的火力还是不够，烤的串时间太长了，很容易干。咱们的设备不仅不会糊，而且烤的又快口感还好吃。他们的是木头把手上面衔接处是铁的，温度有100多度，不注意碰到了，会烫掉一层皮。
我们是米线店,推荐用3抽屉或者5抽屉就够用，具体要看你上几个品种的串，如果是3个品种以内的串，那就选择3抽屉，如果是3-5个品种以上那肯定推荐5抽屉，否则烤不过来，因为每种串的烤制时间是不同的，不建议放在一个抽屉里烤，互相会有影响，因为熟的时间不一样。
便宜点,之前我们要比这个价格多300多，这个月公司有活动，现在给您的就是优惠后的价格，我们始终保证质量优先，品质好，顾客是能吃出来的，直接体现在复购率上。
你这是想往上撒料，是可以烤到一半，把抽屉拽出来，往上撒就可以吗,是的，没错。咱们现在发货的都是新款抽屉了，可以把串锁闭在抽屉上不会掉下来，中途可以拉出来撒料，而串不会掉下来，撒完直接放回去烤，操作简单，速度贼快，烤更香，很实用。
你再便宜点，人家比你便宜,你就看保修期，你要质保一年，我能给你便宜些，质保一年的用不住，老出故障影响生意，这是高温设备，温度非常高，很容易坏，如果质量不过硬，很容易坏就不开机了，便宜的用着用着就很容易熄火，直接就影响生意了，你说顾客下回还来吗。
你给我再便宜点，我就买了,这个价格绝对良心，这是底价了，您放心，咱们的烤炉绝对好用，让你省心，还提供专业技术指导和配方，这些都给您。
都带什么,还提供专业定时间，可以同时定时八个时间，因为不同的食材烤制时间是不同的，我都会给你指导标准，还有耐高温手套等等，
有烤夹吗，烤韭菜,有，烤夹可以烤韭菜，烤尖椒，烤羊排等等
烤夹多少钱,咱们是专用烤夹120一副
能便宜点吗，烤夹,这是最低了，亲
都有什么功能,"咱们的烧烤炉功能丰富多样。首先是专门的烤串抽屉，能烤羊肉串、牛肉串、鸡肉串、猪肉串等各类肉串，还能烤鸡翅、大腰子，以及韭菜、金针菇、尖椒、香菇等蔬菜。像烤韭菜、尖椒这类，没有专用烤夹时，把烤串抽屉取出，放入烤夹就行，烤制速度快，两分钟左右就能好。烤大腰子和鸡翅穿双签放进炉内烤即可，一个抽屉一次能烤5串。

左边的多功能烤箱，可以用来烤锡纸类菜品，比如锡纸扇贝、烤茄子、蒜蓉粉丝娃娃菜、锡纸豆腐等，还能烤羊蝎子、鸽子。而且这个烤箱也可以烤羊排，将一整条羊排切分后按份烤制，13分钟左右就能出炉。

另外，左边还有一种烤箱，适合烤鱼、大羊腿以及羊排。咱们的烧烤炉属于全品类烤串专用设备，甚至还能烤面包片哦。"
食材烤串肉类能给个价格表吗,好的，有价格表，我让京哥联系您，给您发价格表
油烟则么走去哪了,咱们的智能烤箱加热管根深不会产生烟，只有在烤肉时里面的肥肉在快熟的时候，会冒泡泡，飞溅到加热管上的油脂会产生一点点烟，但是量非常的小，如果介意的话，可以安装一个小型或者家用的换气扇即可解决。
